Άδωνις 	Adonis 	Adonis 		Atunis 	Osiris 	lord, master, or patron
Ἀμφιτρίτη 	Amphitrite 	Salacia 				Amphitrite: lit. the third surrounding [the sea][11]
Ἀνάγκη 	Ananke 	Necessitas 				force, constraint, necessity
Ἄνεμοι 	Anemoi 	Venti 				winds
Ἀφροδίτη 	Aphrodite 	Venus 		Turan 	Hathor 	love or sexual desire
Ἀπόλλων (Apollōn) / Φοῖβος (Phoibos) 	Apollo / Phoebus 	Apollo / Phoebus 		Aplu 	Horus / Ra 	light; prophecy; healing; plagues; music and poetry; Phoebus: lit. shining one
Ἄρης 	Ares 	Mars 		Laran 	Anhur 	war
Ἄρτεμις 	Artemis 	Diana 		Artume 	Bast 	hunting, the hunt; wilderness, wild animals; virginity, childbirth; Diana: lit. heavenly or divine
Ἀσκληπιός (Asklēpios) 	Asclepius 	Aesculapius / Vejovis 		Vetis 		healing
Ἀθηνᾶ (Athēnā), Ἀθήνη (Athēnē) 	Athena / Athene 	Minerva 		Menrva 	Neith 	wisdom; strategy; the arts and crafts; weaving
Ἄτροπος 	Atropos 	Morta 		Leinth 		Atropos: lit. inflexible; death
Βορέας 	Boreas 	Aquilo 		Andas 		North Wind or Devouring One
Χάριτες (Kharites) 	Charites 	Gratiae 				Graces
Χάρων (Kharōn) 	Charon 	Charon 		Charun 		fierce, flashing, feverish gaze (eyes)
Χλωρίς (Khlōris) 	Chloris 	Flora 				Chloris: lit. greenish-yellow, pale green, pale, pallid, fresh; Flora: lit. flower
Κλωθώ (Klōthō) 	Clotho 	Nona 				spinning; thread
Κρόνος (Kronos) 	Cronus 	Saturnus 	Saturn 	Satre 	Osiris 	'Father time', Son of Uranus, ate his sons Hestia, Hera, Hades and Poseidon, overthrown by his son Zeus
Κυβέλη (Kybelē) 	Cybele 	Magna Mater 				Magna Mater: lit. Great Mother
Δημήτηρ 	Demeter 	Ceres 		Cels 	Isis 	grains, agricultural fertility; Demeter: lit. Earth Mother
Διόνυσος (Dionysos) / Βάκχος (Bakkhos) 	Dionysus / Bacchus 	Liber / Bacchus 		Fufluns 	Osiris / Khnum 	wine and winemaking; revelry; ecstasy; Liber: lit. the free one
Ἐνυώ 	Enyo 	Bellona 				war
Ἠώς 	Eos 	Aurora / Matuta 		Thesan 		dawn
Ἐρινύες 	Erinyes 	Dirae / Furiae 	Furies 			Furies
Ἔρις 	Eris 	Discordia 				strife
Ἔρως 	Eros 	Cupido / Amor 	Cupid 			sexual love
Εὖρος (Euros) 	Eurus 	Vulturnus 				East Wind
Γαῖα 	Gaia / Gaea 	Terra / Tellus 		Cel 		the earth
Ἁδης (Hādēs) / Πλούτων (Plouton) 	Hades / Pluto 	Dis Pater / Pluto / Orcus 		Aita 	Anubis / Osiris 	the underworld. Hades: lit. the unseen
